wl_nm,n,k
271,1.721205,0
272,1.720421,0
273,1.719643,0
274,1.718872,0
275,1.718108,0
276,1.71735,0
277,1.716598,0
278,1.715852,0
279,1.715113,0
280,1.71438,0
281,1.713653,0
282,1.712933,0
283,1.712218,0
284,1.711509,0
285,1.710806,0
286,1.710109,0
287,1.709418,0
288,1.708733,0
289,1.708053,0
290,1.707379,0
291,1.70671,0
292,1.706047,0
293,1.705389,0
294,1.704737,0
295,1.70409,0
296,1.703449,0
297,1.702813,0
298,1.702182,0
299,1.701556,0
300,1.700935,0
301,1.70032,0
302,1.699709,0
303,1.699103,0
304,1.698503,0
305,1.697907,0
306,1.697316,0
307,1.69673,0
308,1.696148,0
309,1.695571,0
310,1.694999,0
311,1.694432,0
312,1.693869,0
313,1.69331,0
314,1.692756,0
315,1.692207,0
316,1.691661,0
317,1.69112,0
318,1.690584,0
319,1.690051,0
320,1.689523,0
321,1.688999,0
322,1.68848,0
323,1.687964,0
324,1.687452,0
325,1.686945,0
326,1.686441,0
327,1.685941,0
328,1.685445,0
329,1.684953,0
330,1.684465,0
331,1.683981,0
332,1.6835,0
333,1.683024,0
334,1.68255,0
335,1.682081,0
336,1.681615,0
337,1.681153,0
338,1.680694,0
339,1.680239,0
340,1.679787,0
341,1.679338,0
342,1.678893,0
343,1.678452,0
344,1.678014,0
345,1.677579,0
346,1.677147,0
347,1.676719,0
348,1.676294,0
349,1.675872,0
350,1.675453,0
351,1.675037,0
352,1.674625,0
353,1.674215,0
354,1.673809,0
355,1.673406,0
356,1.673005,0
357,1.672608,0
358,1.672213,0
359,1.671822,0
360,1.671433,0
361,1.671047,0
362,1.670664,0
363,1.670284,0
364,1.669906,0
365,1.669532,0
366,1.66916,0
367,1.66879,0
368,1.668424,0
369,1.66806,0
370,1.667699,0
371,1.66734,0
372,1.666984,0
373,1.66663,0
374,1.666279,0
375,1.665931,0
376,1.665584,0
377,1.665241,0
378,1.6649,0
379,1.664561,0
380,1.664225,0
381,1.663891,0
382,1.663559,0
383,1.66323,0
384,1.662903,0
385,1.662578,0
386,1.662256,0
387,1.661936,0
388,1.661618,0
389,1.661302,0
390,1.660989,0
391,1.660677,0
392,1.660368,0
393,1.660061,0
394,1.659756,0
395,1.659453,0
396,1.659153,0
397,1.658854,0
398,1.658557,0
399,1.658262,0
400,1.65797,0
401,1.657679,0
402,1.65739,0
403,1.657104,0
404,1.656819,0
405,1.656536,0
406,1.656255,0
407,1.655976,0
408,1.655699,0
409,1.655424,0
410,1.65515,0
411,1.654878,0
412,1.654609,0
413,1.654341,0
414,1.654074,0
415,1.65381,0
416,1.653547,0
417,1.653286,0
418,1.653027,0
419,1.652769,0
420,1.652513,0
421,1.652259,0
422,1.652006,0
423,1.651755,0
424,1.651506,0
425,1.651258,0
426,1.651012,0
427,1.650767,0
428,1.650524,0
429,1.650283,0
430,1.650043,0
431,1.649805,0
432,1.649568,0
433,1.649333,0
434,1.649099,0
435,1.648867,0
436,1.648636,0
437,1.648407,0
438,1.648179,0
439,1.647953,0
440,1.647728,0
441,1.647504,0
442,1.647282,0
443,1.647061,0
444,1.646842,0
445,1.646624,0
446,1.646407,0
447,1.646192,0
448,1.645978,0
449,1.645765,0
450,1.645554,0
451,1.645344,0
452,1.645135,0
453,1.644928,0
454,1.644722,0
455,1.644517,0
456,1.644313,0
457,1.644111,0
458,1.64391,0
459,1.64371,0
460,1.643511,0
461,1.643313,0
462,1.643117,0
463,1.642922,0
464,1.642728,0
465,1.642535,0
466,1.642344,0
467,1.642153,0
468,1.641964,0
469,1.641776,0
470,1.641589,0
471,1.641403,0
472,1.641218,0
473,1.641034,0
474,1.640851,0
475,1.64067,0
476,1.640489,0
477,1.64031,0
478,1.640131,0
479,1.639954,0
480,1.639778,0
481,1.639603,0
482,1.639428,0
483,1.639255,0
484,1.639083,0
485,1.638912,0
486,1.638741,0
487,1.638572,0
488,1.638404,0
489,1.638237,0
