WLnm, Rdata
1.200000e+03, 4.669601e-01
1.200600e+03, 4.724261e-01
1.201200e+03, 4.778379e-01
1.201801e+03, 4.831952e-01
1.202401e+03, 4.884975e-01
1.203001e+03, 4.937446e-01
1.203601e+03, 4.989361e-01
1.204201e+03, 5.040718e-01
1.204802e+03, 5.091516e-01
1.205402e+03, 5.141752e-01
1.206002e+03, 5.191427e-01
1.206602e+03, 5.240538e-01
1.207202e+03, 5.289087e-01
1.207803e+03, 5.337072e-01
1.208403e+03, 5.384496e-01
1.209003e+03, 5.431358e-01
1.209603e+03, 5.477661e-01
1.210203e+03, 5.523404e-01
1.210804e+03, 5.568591e-01
1.211404e+03, 5.613224e-01
1.212004e+03, 5.657304e-01
1.212604e+03, 5.700834e-01
1.213204e+03, 5.743817e-01
1.213805e+03, 5.786257e-01
1.214405e+03, 5.828156e-01
1.215005e+03, 5.869517e-01
1.215605e+03, 5.910346e-01
1.216205e+03, 5.950644e-01
1.216806e+03, 5.990417e-01
1.217406e+03, 6.029667e-01
1.218006e+03, 6.068401e-01
1.218606e+03, 6.106621e-01
1.219206e+03, 6.144333e-01
1.219807e+03, 6.181540e-01
1.220407e+03, 6.218248e-01
1.221007e+03, 6.254460e-01
1.221607e+03, 6.290183e-01
1.222207e+03, 6.325421e-01
1.222808e+03, 6.360178e-01
1.223408e+03, 6.394460e-01
1.224008e+03, 6.428272e-01
1.224608e+03, 6.461618e-01
1.225208e+03, 6.494505e-01
1.225809e+03, 6.526936e-01
1.226409e+03, 6.558919e-01
1.227009e+03, 6.590457e-01
1.227609e+03, 6.621555e-01
1.228209e+03, 6.652219e-01
1.228810e+03, 6.682454e-01
1.229410e+03, 6.712265e-01
1.230010e+03, 6.741658e-01
1.230610e+03, 6.770636e-01
1.231210e+03, 6.799207e-01
1.231811e+03, 6.827374e-01
1.232411e+03, 6.855142e-01
1.233011e+03, 6.882518e-01
1.233611e+03, 6.909506e-01
1.234211e+03, 6.936110e-01
1.234812e+03, 6.962337e-01
1.235412e+03, 6.988191e-01
1.236012e+03, 7.013677e-01
1.236612e+03, 7.038799e-01
1.237212e+03, 7.063564e-01
1.237813e+03, 7.087975e-01
1.238413e+03, 7.112037e-01
1.239013e+03, 7.135755e-01
1.239613e+03, 7.159134e-01
1.240213e+03, 7.182178e-01
1.240814e+03, 7.204892e-01
1.241414e+03, 7.227282e-01
1.242014e+03, 7.249350e-01
1.242614e+03, 7.271102e-01
1.243214e+03, 7.292542e-01
1.243815e+03, 7.313675e-01
1.244415e+03, 7.334504e-01
1.245015e+03, 7.355034e-01
1.245615e+03, 7.375270e-01
1.246215e+03, 7.395215e-01
1.246816e+03, 7.414874e-01
1.247416e+03, 7.434250e-01
1.248016e+03, 7.453348e-01
1.248616e+03, 7.472171e-01
1.249216e+03, 7.490724e-01
1.249817e+03, 7.509011e-01
1.250417e+03, 7.527034e-01
1.251017e+03, 7.544800e-01
1.251617e+03, 7.562311e-01
1.252217e+03, 7.579570e-01
1.252818e+03, 7.596580e-01
1.253418e+03, 7.613347e-01
1.254018e+03, 7.629872e-01
1.254618e+03, 7.646159e-01
1.255218e+03, 7.662213e-01
1.255819e+03, 7.678035e-01
1.256419e+03, 7.693630e-01
1.257019e+03, 7.709001e-01
1.257619e+03, 7.724150e-01
1.258219e+03, 7.739082e-01
1.258820e+03, 7.753798e-01
1.259420e+03, 7.768303e-01
1.260020e+03, 7.782600e-01
1.260620e+03, 7.796690e-01
1.261220e+03, 7.810578e-01
1.261821e+03, 7.824265e-01
1.262421e+03, 7.837756e-01
1.263021e+03, 7.851052e-01
1.263621e+03, 7.864155e-01
1.264221e+03, 7.877070e-01
1.264822e+03, 7.889798e-01
1.265422e+03, 7.902343e-01
1.266022e+03, 7.914706e-01
1.266622e+03, 7.926891e-01
1.267222e+03, 7.938900e-01
1.267823e+03, 7.950736e-01
1.268423e+03, 7.962400e-01
1.269023e+03, 7.973895e-01
1.269623e+03, 7.985224e-01
1.270223e+03, 7.996389e-01
1.270824e+03, 8.007392e-01
1.271424e+03, 8.018235e-01
1.272024e+03, 8.028920e-01
1.272624e+03, 8.039451e-01
1.273224e+03, 8.049828e-01
1.273825e+03, 8.060054e-01
1.274425e+03, 8.070130e-01
1.275025e+03, 8.080060e-01
1.275625e+03, 8.089845e-01
1.276225e+03, 8.099486e-01
1.276826e+03, 8.108987e-01
1.277426e+03, 8.118348e-01
1.278026e+03, 8.127572e-01
1.278626e+03, 8.136660e-01
1.279226e+03, 8.145614e-01
1.279827e+03, 8.154436e-01
1.280427e+03, 8.163127e-01
1.281027e+03, 8.171690e-01
1.281627e+03, 8.180126e-01
1.282227e+03, 8.188436e-01
1.282828e+03, 8.196623e-01
1.283428e+03, 8.204687e-01
1.284028e+03, 8.212631e-01
1.284628e+03, 8.220456e-01
1.285228e+03, 8.228163e-01
1.285829e+03, 8.235754e-01
1.286429e+03, 8.243230e-01
1.287029e+03, 8.250593e-01
1.287629e+03, 8.257844e-01
1.288229e+03, 8.264985e-01
1.288830e+03, 8.272018e-01
1.289430e+03, 8.278942e-01
1.290030e+03, 8.285760e-01
1.290630e+03, 8.292474e-01
1.291230e+03, 8.299083e-01
1.291831e+03, 8.305590e-01
1.292431e+03, 8.311995e-01
1.293031e+03, 8.318300e-01
1.293631e+03, 8.324507e-01
1.294231e+03, 8.330615e-01
1.294832e+03, 8.336627e-01
1.295432e+03, 8.342543e-01
1.296032e+03, 8.348365e-01
1.296632e+03, 8.354094e-01
1.297232e+03, 8.359731e-01
1.297833e+03, 8.365276e-01
1.298433e+03, 8.370731e-01
1.299033e+03, 8.376097e-01
1.299633e+03, 8.381375e-01
1.300233e+03, 8.386565e-01
1.300834e+03, 8.391670e-01
1.301434e+03, 8.396689e-01
1.302034e+03, 8.401625e-01
1.302634e+03, 8.406476e-01
1.303234e+03, 8.411246e-01
1.303835e+03, 8.415934e-01
1.304435e+03, 8.420541e-01
1.305035e+03, 8.425068e-01
1.305635e+03, 8.429516e-01
1.306235e+03, 8.433885e-01
1.306836e+03, 8.438178e-01
1.307436e+03, 8.442393e-01
1.308036e+03, 8.446533e-01
1.308636e+03, 8.450598e-01
1.309236e+03, 8.454588e-01
1.309837e+03, 8.458505e-01
1.310437e+03, 8.462348e-01
1.311037e+03, 8.466120e-01
1.311637e+03, 8.469820e-01
1.312237e+03, 8.473449e-01
1.312838e+03, 8.477008e-01
1.313438e+03, 8.480498e-01
1.314038e+03, 8.483919e-01
1.314638e+03, 8.487271e-01
1.315238e+03, 8.490556e-01
1.315839e+03, 8.493774e-01
1.316439e+03, 8.496926e-01
1.317039e+03, 8.500012e-01
1.317639e+03, 8.503033e-01
1.318239e+03, 8.505989e-01
1.318840e+03, 8.508881e-01
1.319440e+03, 8.511710e-01
1.320040e+03, 8.514476e-01
1.320640e+03, 8.517179e-01
1.321240e+03, 8.519820e-01
1.321841e+03, 8.522400e-01
1.322441e+03, 8.524919e-01
1.323041e+03, 8.527378e-01
1.323641e+03, 8.529777e-01
1.324241e+03, 8.532116e-01
1.324842e+03, 8.534396e-01
1.325442e+03, 8.536618e-01
1.326042e+03, 8.538781e-01
1.326642e+03, 8.540887e-01
1.327242e+03, 8.542936e-01
1.327843e+03, 8.544928e-01
1.328443e+03, 8.546864e-01
1.329043e+03, 8.548743e-01
1.329643e+03, 8.550567e-01
1.330243e+03, 8.552336e-01
1.330844e+03, 8.554050e-01
1.331444e+03, 8.555710e-01
1.332044e+03, 8.557315e-01
1.332644e+03, 8.558866e-01
1.333244e+03, 8.560365e-01
1.333845e+03, 8.561809e-01
1.334445e+03, 8.563202e-01
1.335045e+03, 8.564541e-01
1.335645e+03, 8.565829e-01
1.336245e+03, 8.567065e-01
1.336846e+03, 8.568249e-01
1.337446e+03, 8.569382e-01
1.338046e+03, 8.570464e-01
1.338646e+03, 8.571495e-01
1.339246e+03, 8.572476e-01
1.339847e+03, 8.573407e-01
1.340447e+03, 8.574287e-01
1.341047e+03, 8.575118e-01
1.341647e+03, 8.575899e-01
1.342247e+03, 8.576630e-01
1.342848e+03, 8.577313e-01
1.343448e+03, 8.577947e-01
1.344048e+03, 8.578533e-01
1.344648e+03, 8.579070e-01
1.345248e+03, 8.579560e-01
1.345849e+03, 8.580002e-01
1.346449e+03, 8.580396e-01
1.347049e+03, 8.580742e-01
1.347649e+03, 8.581042e-01
1.348249e+03, 8.581294e-01
1.348850e+03, 8.581499e-01
1.349450e+03, 8.581658e-01
1.350050e+03, 8.581771e-01
1.350650e+03, 8.581836e-01
1.351250e+03, 8.581856e-01
1.351851e+03, 8.581830e-01
1.352451e+03, 8.581758e-01
