Lingart_1981_Table_2,Alpha_inverseCm,T_K,Lambda_um,,,,,,,,
-999,300,500,700,900,1100,1300,1500,1700,1900,2100,2300
0.5,0.0049,0.0069,0.0088,0.0120,0.0140,0.0190,0.0240,0.0390,0.2300,0.3400,0.3900
0.6,0.0041,0.0061,0.0081,0.0100,0.0130,0.0160,0.0220,0.0350,0.2100,0.3100,0.3600
0.7,0.0035,0.0055,0.0072,0.0090,0.0110,0.0140,0.0200,0.0320,0.1900,0.2900,0.3300
0.8,0.0031,0.0049,0.0065,0.0082,0.0100,0.0130,0.0180,0.0290,0.1800,0.2700,0.3000
0.9,0.0027,0.0045,0.0061,0.0075,0.0092,0.0120,0.0160,0.0260,0.1600,0.2400,0.2700
1.0,0.0025,0.0041,0.0056,0.0068,0.0083,0.0110,0.0150,0.0240,0.1500,0.2300,0.2500
1.1,0.0024,0.0038,0.0051,0.0063,0.0076,0.0097,0.0140,0.0220,0.1400,0.2100,0.2300
1.2,0.0022,0.0035,0.0046,0.0058,0.0070,0.0088,0.0130,0.0200,0.1300,0.1900,0.2200
1.3,0.0021,0.0032,0.0042,0.0054,0.0065,0.0082,0.0110,0.0180,0.1200,0.1800,0.2000
1.4,0.0020,0.0029,0.0037,0.0050,0.0061,0.0076,0.0110,0.0170,0.1100,0.1700,0.1900
1.5,0.0019,0.0026,0.0035,0.0046,0.0058,0.0071,0.0100,0.0160,0.1000,0.1600,0.1800
1.6,0.0018,0.0025,0.0032,0.0042,0.0054,0.0066,0.0090,0.0150,0.0990,0.1500,0.1700
1.7,0.0018,0.0023,0.0030,0.0039,0.0051,0.0062,0.0085,0.0140,0.0910,0.1400,0.1600
1.8,0.0017,0.0022,0.0028,0.0037,0.0047,0.0058,0.0079,0.0130,0.0860,0.1300,0.1500
1.9,0.0016,0.0021,0.0027,0.0035,0.0044,0.0056,0.0076,0.0120,0.0810,0.1300,0.1400
2.0,0.0016,0.0020,0.0026,0.0033,0.0042,0.0053,0.0074,0.0120,0.0760,0.1200,0.1300
2.1,0.0015,0.0019,0.0025,0.0032,0.0039,0.0052,0.0071,0.0120,0.0710,0.1200,0.1300
2.2,0.0015,0.0019,0.0024,0.0030,0.0037,0.0050,0.0069,0.0120,0.0680,0.1100,0.1200
2.3,0.0015,0.0018,0.0023,0.0030,0.0036,0.0049,0.0069,0.0120,0.0650,0.1100,0.1200
2.4,0.0014,0.0018,0.0023,0.0029,0.0035,0.0048,0.0069,0.0120,0.0640,0.1100,0.1200
2.5,0.0014,0.0018,0.0023,0.0028,0.0035,0.0048,0.0069,0.0120,0.0630,0.1100,0.1200
2.6,0.0014,0.0018,0.0023,0.0028,0.0035,0.0049,0.0070,0.0130,0.0630,0.1100,0.1200
2.7,0.0014,0.0018,0.0023,0.0029,0.0036,0.0051,0.0074,0.0150,0.0640,0.1100,0.1200
2.8,0.0014,0.0018,0.0024,0.0031,0.0039,0.0055,0.0078,0.0170,0.0670,0.1100,0.1200
2.9,0.0014,0.0018,0.0025,0.0033,0.0044,0.0061,0.0087,0.0200,0.0690,0.1200,0.1300
3.0,0.0015,0.0019,0.0026,0.0037,0.0050,0.0071,0.0100,0.0240,0.0750,0.1200,0.1400
3.1,0.0016,0.0021,0.0029,0.0042,0.0061,0.0088,0.0140,0.0300,0.0840,0.1300,0.1500
3.2,0.0017,0.0022,0.0033,0.0050,0.0082,0.0130,0.0200,0.0400,0.0970,0.1500,0.1700
3.3,0.0019,0.0025,0.0039,0.0067,0.0120,0.0210,0.0340,0.0570,0.1200,0.1700,0.2000
3.4,0.0021,0.0030,0.0050,0.0096,0.0190,0.0360,0.0570,0.0870,0.1500,0.2100,0.2500
3.5,0.0026,0.0040,0.0076,0.0160,0.0340,0.0620,0.0900,0.1300,0.2000,0.2700,0.3200
3.6,0.0034,0.0061,0.0130,0.0280,0.0610,0.0970,0.1400,0.1800,0.2600,0.3700,0.4300
3.7,0.0052,0.0110,0.0240,0.0490,0.0910,0.1400,0.2000,0.2600,0.3600,0.4900,0.5800
