Lingart_1981_Table_4,n_arbitraryUnits,T_K,Lambda_um,,,
-999,297,1473,1773,1873,1973,2293
0.50,1.774,1.805,1.814,1.817,1.820,1.830
0.75,1.762,1.799,1.802,1.805,1.808,1.818
1.00,1.756,1.785,1.794,1.797,1.800,1.810
1.25,1.751,1.781,1.790,1.793,1.796,1.806
1.50,1.747,1.784,1.787,1.790,1.793,1.803
1.75,1.743,1.777,1.786,1.789,1.792,1.802
2.00,1.738,1.775,1.784,1.787,1.790,1.800
2.25,1.732,1.769,1.778,1.781,1.784,1.794
2.50,1.726,1.761,1.770,1.773,1.776,1.786
2.75,1.718,1.753,1.762,1.765,1.768,1.778
3.00,1.712,1.745,1.754,1.757,1.760,1.770
3.25,1.703,1.738,1.747,1.750,1.753,1.763
3.50,1.696,1.731,1.740,1.743,1.746,1.756
3.75,1.686,1.723,1.732,1.735,1.738,1.748
4.00,1.675,1.715,1.724,1.727,1.730,1.740
4.25,1.664,1.704,1.713,1.716,1.719,1.729
4.50,1.651,1.691,1.700,1.703,1.706,1.716
4.75,1.638,1.680,1.689,1.692,1.695,1.706
5.00,1.624,1.665,1.674,1.677,1.680,1.690
5.25,1.608,1.648,1.657,1.660,1.663,1.673
5.50,1.592,1.627,1.636,1.639,1.642,1.652
5.75,1.566,1.603,1.612,1.615,1.618,1.628
6.00,1.540,1.575,1.584,1.587,1.590,1.600
