thisWorkwl,thisWorkn,thisWorkk
370.960602,1.550049,1.498094
372.542419,1.567372,1.593955
374.12442,1.592879,1.689177
375.706512,1.626598,1.782972
377.288788,1.66854,1.874532
378.871216,1.718687,1.962991
380.453766,1.776968,2.0474
382.036469,1.843219,2.126708
383.619324,1.917117,2.199745
385.202332,1.998127,2.265256
386.785461,2.085417,2.321926
388.368713,2.177802,2.368478
389.952118,2.273705,2.40378
391.535675,2.371151,2.426992
393.119324,2.467839,2.437729
394.703186,2.56128,2.436195
396.28714,2.648984,2.423273
397.871216,2.728706,2.400527
399.455444,2.79867,2.370105
401.039795,2.85774,2.33456
402.624298,2.905514,2.296617
404.208923,2.942311,2.258938
405.79364,2.96909,2.223918
407.37854,2.987305,2.193539
408.963562,2.998756,2.169295
410.548676,3.005432,2.152164
412.133942,3.009383,2.142616
413.71933,3.012614,2.140656
415.30484,3.016998,2.145863
416.890442,3.024205,2.157449
418.476227,3.035649,2.174314
420.062073,3.052434,2.195105
421.648102,3.075318,2.218288
423.234192,3.104679,2.24222
424.820404,3.140506,2.265235
426.406799,3.18239,2.28573
427.993256,3.229552,2.302254
429.579834,3.280874,2.313602
431.166504,3.33498,2.318891
432.753326,3.390313,2.317629
434.34024,3.445249,2.309746
435.927307,3.498219,2.295605
437.514465,3.547819,2.275964
439.101715,3.592915,2.251912
440.689056,3.632718,2.224776
442.27652,3.66682,2.196012
443.864105,3.695204,2.167097
445.451813,3.718214,2.139435
447.039612,3.736514,2.114271
448.627502,3.751027,2.092639
450.215485,3.762875,2.075316
451.803619,3.773315,2.062804
453.391785,3.783681,2.055308
454.980133,3.795327,2.05274
456.568512,3.80957,2.05471
458.157043,3.827638,2.060543
459.745605,3.850604,2.069283
461.33432,3.879328,2.079728
462.923096,3.914397,2.090469
464.512024,3.95607,2.09995
466.100983,4.004233,2.106546
467.690033,4.058376,2.108657
469.279205,4.1176,2.104814
470.8685,4.18065,2.093785
472.457825,4.245979,2.074673
474.047272,4.311867,2.046987
475.63681,4.376524,2.01068
477.22641,4.438231,1.966149
478.816101,4.49546,1.914179
480.405914,4.546967,1.855866
481.995758,4.591848,1.79251
483.585754,4.629568,1.725498
485.175781,4.659926,1.65621
486.765869,4.683027,1.585929
488.35611,4.699209,1.51578
489.94635,4.70898,1.446713
491.536713,4.712953,1.379472
493.127136,4.711793,1.314626
494.717682,4.706172,1.252567
496.308258,4.696742,1.193549
497.898926,4.684107,1.137705
499.489655,4.668818,1.085078
501.080475,4.651364,1.035637
502.671326,4.632174,0.989303
504.262299,4.611616,0.94596
505.853363,4.590006,0.905469
507.444427,4.56761,0.867682
509.035583,4.544651,0.832439
510.626862,4.521312,0.799584
512.21814,4.497749,0.768962
513.809509,4.474082,0.740424
515.40094,4.450415,0.713831
516.992432,4.426829,0.689048
518.583984,4.403388,0.665953
520.175598,4.380142,0.644431
521.767273,4.357131,0.624376
523.359009,4.334384,0.605692
524.950806,4.311924,0.588289
526.542664,4.289766,0.572089
528.134583,4.26792,0.557016
529.726563,4.246392,0.543005
531.318604,4.225183,0.529996
532.910645,4.204296,0.517936
534.502808,4.183725,0.506776
536.094971,4.163468,0.496474
537.687195,4.143519,0.486992
539.27948,4.123874,0.478298
540.871887,4.104524,0.470362
542.464233,4.085465,0.463161
544.056702,4.066689,0.456675
545.64917,4.048192,0.450886
547.241699,4.029967,0.445782
548.83429,4.012011,0.441354
550.42688,3.994321,0.437595
552.019531,3.976894,0.434503
553.612244,3.959733,0.432078
555.204956,3.94284,0.430324
556.797729,3.92622,0.429246
558.390564,3.909881,0.428855
559.983459,3.893835,0.429161
561.576355,3.878098,0.430179
563.169312,3.862691,0.431925
564.762268,3.847639,0.434417
566.355286,3.832974,0.437675
567.948303,3.818736,0.441718
569.541382,3.80497,0.446565
571.13446,3.79173,0.452236
