wl,n,k
0.3000000000,3.1260590000,2.4912410000
0.3010000000,3.1326750000,2.4765250000
0.3020000000,3.1384450000,2.4618920000
0.3030000000,3.1433750000,2.4473870000
0.3040000000,3.1474730000,2.4330510000
0.3050000000,3.1507450000,2.4189260000
0.3060000000,3.1532040000,2.4050540000
0.3070000000,3.1548600000,2.3914740000
0.3080000000,3.1557270000,2.3782290000
0.3090000000,3.1558220000,2.3653570000
0.3100000000,3.1551600000,2.3528990000
0.3110000000,3.1537600000,2.3408950000
0.3120000000,3.1516420000,2.3293810000
0.3130000000,3.1488230000,2.3183990000
0.3140000000,3.1453280000,2.3079900000
0.3150000000,3.1411790000,2.2981960000
0.3160000000,3.1364020000,2.2890580000
0.3170000000,3.1310270000,2.2806210000
0.3180000000,3.1250830000,2.2729320000
0.3190000000,3.1186050000,2.2660390000
0.3200000000,3.1116310000,2.2599940000
0.3210000000,3.1042040000,2.2548530000
0.3220000000,3.0963770000,2.2506790000
0.3230000000,3.0882110000,2.2475380000
0.3240000000,3.0797790000,2.2455070000
0.3250000000,3.0711750000,2.2446670000
0.3260000000,3.0625190000,2.2451130000
0.3270000000,3.0539680000,2.2469410000
0.3280000000,3.0457320000,2.2502540000
0.3290000000,3.0380930000,2.2551440000
0.3300000000,3.0314370000,2.2616750000
0.3310000000,3.0262860000,2.2698270000
0.3320000000,3.0233240000,2.2794160000
0.3330000000,3.0233980000,2.2899430000
0.3340000000,3.0274050000,2.3003600000
0.3350000000,3.0359560000,2.3088300000
0.3360000000,3.0486800000,2.3126940000
0.3370000000,3.0633290000,2.3091400000
0.3380000000,3.0755490000,2.2968690000
0.3390000000,3.0804470000,2.2777890000
0.3400000000,3.0753530000,2.2566690000
0.3410000000,3.0611220000,2.2385150000
0.3420000000,3.0408350000,2.2262750000
0.3430000000,3.0177340000,2.2205840000
0.3440000000,2.9941360000,2.2207240000
0.3450000000,2.9713480000,2.2255620000
0.3460000000,2.9499640000,2.2340360000
0.3470000000,2.9301790000,2.2453130000
0.3480000000,2.9119910000,2.2587870000
0.3490000000,2.8953200000,2.2740360000
0.3500000000,2.8800680000,2.2907690000
0.3510000000,2.8661400000,2.3087840000
0.3520000000,2.8534570000,2.3279400000
0.3530000000,2.8419590000,2.3481370000
0.3540000000,2.8316050000,2.3692980000
0.3550000000,2.8223680000,2.3913680000
0.3560000000,2.8142320000,2.4142980000
0.3570000000,2.8071950000,2.4380490000
0.3580000000,2.8012640000,2.4625830000
0.3590000000,2.7964500000,2.4878640000
0.3600000000,2.7927730000,2.5138560000
0.3610000000,2.7902570000,2.5405220000
0.3620000000,2.7889300000,2.5678210000
0.3630000000,2.7888300000,2.5957080000
0.3640000000,2.7899840000,2.6241080000
0.3650000000,2.7923820000,2.6529730000
0.3660000000,2.7960450000,2.6822730000
0.3670000000,2.8009980000,2.7119660000
0.3680000000,2.8072680000,2.7420060000
0.3690000000,2.8148830000,2.7723470000
0.3700000000,2.8238710000,2.8029330000
0.3710000000,2.8342600000,2.8337100000
0.3720000000,2.8460770000,2.8646140000
0.3730000000,2.8593390000,2.8955790000
0.3740000000,2.8740690000,2.9265430000
0.3750000000,2.8902850000,2.9574370000
0.3760000000,2.9080060000,2.9881880000
0.3770000000,2.9272470000,3.0187190000
0.3780000000,2.9480190000,3.0489470000
0.3790000000,2.9703280000,3.0787890000
0.3800000000,2.9941760000,3.1081550000
0.3810000000,3.0195610000,3.1369520000
0.3820000000,3.0464720000,3.1650860000
0.3830000000,3.0748920000,3.1924580000
0.3840000000,3.1047980000,3.2189660000
0.3850000000,3.1361580000,3.2445080000
0.3860000000,3.1689300000,3.2689790000
0.3870000000,3.2030640000,3.2922750000
0.3880000000,3.2384990000,3.3142910000
0.3890000000,3.2751640000,3.3349250000
0.3900000000,3.3129770000,3.3540760000
0.3910000000,3.3518430000,3.3716490000
0.3920000000,3.3916570000,3.3875540000
0.3930000000,3.4323040000,3.4017070000
0.3940000000,3.4736540000,3.4140330000
0.3950000000,3.5155700000,3.4244700000
0.3960000000,3.5579040000,3.4329660000
0.3970000000,3.6005000000,3.4394830000
0.3980000000,3.6431940000,3.4440000000
0.3990000000,3.6858170000,3.4465110000
0.4000000000,3.7281970000,3.4470290000
0.4010000000,3.7701620000,3.4455870000
0.4020000000,3.8115400000,3.4422350000
0.4030000000,3.8521640000,3.4370460000
0.4040000000,3.8918730000,3.4301110000
0.4050000000,3.9305180000,3.4215380000
0.4060000000,3.9679580000,3.4114570000
0.4070000000,4.0040720000,3.4000090000
0.4080000000,4.0387510000,3.3873530000
0.4090000000,4.0719080000,3.3736590000
0.4100000000,4.1034760000,3.3591060000
0.4110000000,4.1334070000,3.3438810000
