MRQuerry1985_OpticalConstants_refractiveindex.info,,,,,
wl,n-e,k-e,n-o,k-o,
0.21,1.804,-0.048,1.831,-0.052,
0.22,1.79,-0.035,1.817,-0.039,
0.23,1.78,-0.024,1.805,-0.026,
0.24,1.768,-0.017,1.793,-0.019,
0.25,1.763,-0.014,1.789,-0.016,
0.26,1.755,-0.008,1.779,-0.01,
0.27,1.751,-0.003,1.776,-0.004,
0.28,1.748,0,1.772,-0.001,
0.29,1.743,0.002,1.767,0.001,
0.3,1.738,0.008,1.762,0.007,
0.31,1.738,0.01,1.762,0.01,
0.32,1.738,0.012,1.762,0.012,
0.33,1.737,0.013,1.761,0.013,
0.34,1.736,0.014,1.76,0.014,
0.35,1.734,0.015,1.758,0.015,
0.36,1.733,0.017,1.757,0.017,
0.37,1.733,0.018,1.757,0.018,
0.38,1.733,0.018,1.757,0.018,
0.39,1.733,0.018,1.757,0.019,
0.4,1.732,0.018,1.756,0.019,
0.41,1.731,0.019,1.755,0.019,
0.42,1.73,0.019,1.754,0.019,
0.43,1.73,0.02,1.754,0.02,
0.44,1.73,0.02,1.754,0.021,
0.45,1.73,0.02,1.754,0.021,
0.46,1.73,0.02,1.754,0.021,
0.47,1.73,0.02,1.754,0.021,
0.48,1.729,0.02,1.754,0.021,
0.49,1.729,0.021,1.754,0.021,
0.5,1.729,0.02,1.754,0.021,
0.51,1.729,0.021,1.753,0.021,
0.52,1.729,0.02,1.753,0.021,
0.53,1.729,0.02,1.753,0.02,
0.54,1.729,0.02,1.753,0.021,
0.55,1.729,0.02,1.753,0.021,
0.56,1.728,0.02,1.752,0.02,
0.57,1.728,0.02,1.752,0.021,
0.58,1.728,0.02,1.752,0.02,
0.59,1.728,0.02,1.752,0.02,
0.6,1.728,0.02,1.752,0.02,
0.61,1.728,0.02,1.751,0.02,
0.62,1.728,0.02,1.751,0.021,
0.63,1.728,0.02,1.751,0.02,
0.64,1.727,0.019,1.751,0.02,
0.65,1.727,0.02,1.751,0.02,
0.66,1.727,0.02,1.751,0.02,
0.67,1.727,0.02,1.751,0.02,
