wl_um,n,k
0.02997140,0.902641,0.090808
0.03027110,0.90136,0.092924
0.03057380,0.90007,0.095088
0.03087950,0.898776,0.097307
0.03118820,0.89748,0.099571
0.03150010,0.896181,0.101885
0.03181510,0.894879,0.104244
0.03213320,0.893574,0.106656
0.03245450,0.892272,0.109126
0.03277900,0.890978,0.111647
0.03310670,0.889702,0.114236
0.03343780,0.888465,0.116878
0.03377210,0.887297,0.119567
0.03410980,0.886214,0.122209
0.03445090,0.885174,0.124693
0.03479540,0.883982,0.126809
0.03514330,0.882511,0.128955
0.03549470,0.880785,0.131143
0.03584960,0.878678,0.133365
0.03620800,0.876481,0.136553
0.03657010,0.874556,0.1399
0.03693580,0.872787,0.143213
0.03730510,0.871074,0.146494
0.03767810,0.869363,0.149742
0.03805480,0.86761,0.152958
0.03843540,0.865776,0.156142
0.03881970,0.863816,0.159295
0.03920780,0.861676,0.162416
0.03959990,0.859282,0.165507
0.03999580,0.856515,0.168567
0.04039580,0.853138,0.171596
0.04079970,0.84889,0.175068
0.04120760,0.844123,0.180254
0.04161970,0.83975,0.187256
0.04203580,0.83622,0.195025
0.04245610,0.833486,0.203259
0.04288070,0.831514,0.21184
0.04330940,0.830332,0.220746
0.04374250,0.830106,0.23005
0.04417990,0.831546,0.240085
0.04462160,0.835363,0.249093
0.04506780,0.840168,0.253264
0.04551840,0.842632,0.252294
0.04597360,0.840353,0.250013
0.04643330,0.834485,0.252464
0.04689750,0.828622,0.26046
0.04736650,0.824426,0.270022
0.04784010,0.821603,0.28039
0.04831850,0.820021,0.291335
0.04880160,0.819896,0.302881
0.04928960,0.821242,0.313805
0.04978240,0.823304,0.323299
0.05028020,0.825546,0.332287
0.05078290,0.828171,0.341151
0.05129070,0.831901,0.349806
0.05180360,0.834838,0.353096
0.05232160,0.833377,0.354566
0.05284470,0.829407,0.363136
0.05337310,0.827279,0.375978
0.05390680,0.827432,0.38814
0.05444580,0.82669,0.397168
0.05499020,0.824603,0.411489
0.05554010,0.827179,0.434434
0.05609540,0.836419,0.452936
0.05665630,0.847178,0.463637
0.05722280,0.856583,0.472242
0.05779500,0.86484,0.479679
0.05837290,0.871787,0.486141
0.05895660,0.877083,0.492552
0.05954610,0.881709,0.501506
0.06014150,0.88723,0.511722
0.06074280,0.893026,0.52031
0.06135020,0.898025,0.529356
0.06196370,0.903174,0.540851
0.06258320,0.90997,0.553909
0.06320900,0.918486,0.566062
0.06384100,0.927667,0.576825
0.06447940,0.937008,0.587342
0.06512410,0.946536,0.597691
0.06577530,0.955843,0.60778
0.06643300,0.966053,0.620951
0.06709730,0.979802,0.635486
0.06776820,0.995102,0.643249
0.06844580,1.008374,0.649139
0.06913020,1.02101,0.658131
0.06982140,1.034766,0.66723
0.07051960,1.049624,0.676323
0.07122470,1.065902,0.685415
0.07193690,1.084606,0.694612
0.07265620,1.10556,0.699942
0.07338270,1.12624,0.699928
0.07411640,1.145158,0.697823
0.07485750,1.162416,0.69425
0.07560600,1.17799,0.689602
0.07636200,1.191939,0.684428
0.07712550,1.20437,0.678849
0.07789670,1.215264,0.672967
0.07867560,1.224503,0.666877
0.07946230,1.231821,0.660683
0.08025680,1.236636,0.654506
0.08105930,1.23724,0.648542
0.08186980,1.235379,0.651989
0.08268850,1.238136,0.665935
0.08351530,1.24801,0.678049
0.08435030,1.260593,0.683634
0.08519380,1.272048,0.686072
0.08604560,1.281354,0.688541
0.08690600,1.289829,0.694971
0.08777500,1.301036,0.706731
0.08865260,1.317938,0.719526
0.08953910,1.338809,0.725584
0.09043440,1.358004,0.724254
0.09133860,1.377503,0.729951
0.09225190,1.402077,0.731917
0.09317440,1.42568,0.719519
0.09410600,1.442601,0.702867
0.09504700,1.446582,0.677451
0.09599740,1.441629,0.676337
0.09695730,1.445146,0.69378
0.09792670,1.45689,0.701398
0.09890590,1.470505,0.710496
0.09989490,1.487711,0.72078
0.10089400,1.508878,0.72967
0.10190300,1.533322,0.736282
0.10292100,1.560693,0.740562
0.10395100,1.590166,0.740975
0.10499000,1.623784,0.742378
0.10604000,1.662533,0.734122
0.10710000,1.699263,0.709172
0.10817100,1.72842,0.67681
0.10925300,1.745129,0.634501
0.11034500,1.749212,0.602484
0.11144800,1.751025,0.585491
0.11256300,1.75456,0.56886
0.11368800,1.756805,0.551819
0.11482500,1.746277,0.524736
0.11597300,1.732785,0.544218
0.11713300,1.74317,0.584025
0.11830400,1.776007,0.610374
0.11948700,1.829849,0.636461
0.12068200,1.898678,0.623631
0.12188800,1.964435,0.579259
0.12310700,2.009692,0.498676
0.12433800,2.025857,0.418891
0.12558100,2.027361,0.360819
0.12683700,2.0246,0.306025
0.12810500,2.0159,0.251772
0.12938600,1.998814,0.198057
0.13068000,1.969362,0.147217
0.13198700,1.937598,0.126202
0.13330600,1.912352,0.105396
0.13463900,1.887895,0.084795
0.13598600,1.86161,0.066665
0.13734500,1.836981,0.059834
0.13871900,1.816682,0.053069
0.14010600,1.798334,0.046556
0.14150700,1.781051,0.040788
0.14292200,1.764089,0.03577
0.14435100,1.748911,0.035579
0.14579400,1.73703,0.035389
0.14725200,1.727671,0.034107
0.14872400,1.718598,0.028736
0.15021100,1.708028,0.023419
0.15171300,1.696399,0.0195
0.15323000,1.685403,0.019141
0.15476200,1.675988,0.018794
0.15631000,1.66756,0.018558
0.15787300,1.659934,0.018325
0.15945100,1.653007,0.018094
0.16104600,1.646665,0.017689
0.16265600,1.640837,0.01721
0.16428200,1.635374,0.016326
0.16592500,1.630056,0.01524
0.16758400,1.624859,0.014165
0.16926000,1.619821,0.013101
0.17095200,1.614983,0.012047
0.17266200,1.610173,0.010604
0.17438800,1.604986,0.008981
0.17613200,1.599814,0.008657
0.17789300,1.595135,0.008394
0.17967200,1.59077,0.008133
0.18146800,1.586642,0.007875
0.18328300,1.58271,0.007619
0.18511600,1.578947,0.007365
0.18696600,1.575331,0.007114
0.18883600,1.571839,0.006866
0.19072400,1.568439,0.006632
0.19263100,1.565172,0.006538
0.19455700,1.56207,0.006447
0.19650300,1.559103,0.006357
0.19846800,1.556257,0.006269
0.20045200,1.553522,0.006183
0.20245600,1.55089,0.006099
0.20448100,1.548354,0.006016
0.20652500,1.545909,0.005935
0.20859000,1.54355,0.005856
0.21067600,1.541272,0.005778
0.21278300,1.539071,0.005701
0.21491000,1.536943,0.005626
0.21705900,1.534884,0.005552
0.21923000,1.532892,0.00548
0.22142200,1.530963,0.005409
0.22363600,1.529095,0.005339
0.22587200,1.527285,0.005271
0.22813000,1.52553,0.005203
0.23041100,1.523828,0.005137
0.23271500,1.522177,0.005072
0.23504200,1.520575,0.005008
0.23739200,1.51902,0.004946
0.23976600,1.51751,0.004884
0.24216400,1.516043,0.004823
0.24458500,1.514619,0.004764
0.24703100,1.513234,0.004705
0.24950100,1.511889,0.004647
0.25199500,1.51058,0.00459
0.25451500,1.509308,0.004535
0.25706000,1.50807,0.00448
0.25963000,1.506866,0.004426
0.26222600,1.505695,0.004372
0.26484800,1.504555,0.00432
0.26749700,1.503445,0.004268
0.27017100,1.502364,0.004218
0.27287300,1.501312,0.004168
0.27560100,1.500287,0.004118
0.27835700,1.499288,0.00407
0.28114000,1.498315,0.004022
0.28395100,1.497367,0.003975
