WLnm, Rdata
1.064000e+03, 7.588415e-01
1.064646e+03, 7.592523e-01
1.065291e+03, 7.596594e-01
1.065937e+03, 7.600629e-01
1.066582e+03, 7.604627e-01
1.067228e+03, 7.608588e-01
1.067873e+03, 7.612514e-01
1.068519e+03, 7.616404e-01
1.069164e+03, 7.620259e-01
1.069810e+03, 7.624078e-01
1.070455e+03, 7.627862e-01
1.071101e+03, 7.631612e-01
1.071747e+03, 7.635328e-01
1.072392e+03, 7.639009e-01
1.073038e+03, 7.642656e-01
1.073683e+03, 7.646270e-01
1.074329e+03, 7.649850e-01
1.074974e+03, 7.653397e-01
1.075620e+03, 7.656910e-01
1.076265e+03, 7.660391e-01
1.076911e+03, 7.663840e-01
1.077557e+03, 7.667255e-01
1.078202e+03, 7.670638e-01
1.078848e+03, 7.673989e-01
1.079493e+03, 7.677309e-01
1.080139e+03, 7.680597e-01
1.080784e+03, 7.683854e-01
1.081430e+03, 7.687079e-01
1.082075e+03, 7.690274e-01
1.082721e+03, 7.693438e-01
1.083366e+03, 7.696572e-01
1.084012e+03, 7.699675e-01
1.084658e+03, 7.702748e-01
1.085303e+03, 7.705791e-01
1.085949e+03, 7.708805e-01
1.086594e+03, 7.711789e-01
1.087240e+03, 7.714744e-01
1.087885e+03, 7.717670e-01
1.088531e+03, 7.720566e-01
1.089176e+03, 7.723433e-01
1.089822e+03, 7.726272e-01
1.090467e+03, 7.729082e-01
1.091113e+03, 7.731864e-01
1.091759e+03, 7.734619e-01
1.092404e+03, 7.737345e-01
1.093050e+03, 7.740044e-01
1.093695e+03, 7.742715e-01
1.094341e+03, 7.745359e-01
1.094986e+03, 7.747975e-01
1.095632e+03, 7.750565e-01
1.096277e+03, 7.753128e-01
1.096923e+03, 7.755664e-01
1.097569e+03, 7.758174e-01
1.098214e+03, 7.760658e-01
1.098860e+03, 7.763115e-01
1.099505e+03, 7.765546e-01
1.100151e+03, 7.767952e-01
1.100796e+03, 7.770331e-01
1.101442e+03, 7.772686e-01
1.102087e+03, 7.775015e-01
1.102733e+03, 7.777318e-01
1.103378e+03, 7.779597e-01
1.104024e+03, 7.781850e-01
1.104670e+03, 7.784079e-01
1.105315e+03, 7.786283e-01
1.105961e+03, 7.788463e-01
1.106606e+03, 7.790618e-01
1.107252e+03, 7.792750e-01
1.107897e+03, 7.794857e-01
1.108543e+03, 7.796940e-01
1.109188e+03, 7.798999e-01
1.109834e+03, 7.801035e-01
1.110479e+03, 7.803046e-01
1.111125e+03, 7.805034e-01
1.111771e+03, 7.806999e-01
1.112416e+03, 7.808941e-01
1.113062e+03, 7.810860e-01
1.113707e+03, 7.812756e-01
1.114353e+03, 7.814629e-01
1.114998e+03, 7.816479e-01
1.115644e+03, 7.818307e-01
1.116289e+03, 7.820113e-01
1.116935e+03, 7.821897e-01
1.117581e+03, 7.823658e-01
1.118226e+03, 7.825397e-01
1.118872e+03, 7.827115e-01
