WLnm,Rdata
1200,1
1204.51273,0.97
1209.02546,0.97
1213.53819,0.97
1218.05092,0.97
1222.56365,0.97
1227.07638,1
1231.58911,1
1236.10184,1
1240.61457,1
1245.1273,1
1249.64003,1
1254.15276,1
1258.66549,1
1263.17822,0.94
1267.69095,0.94
1272.20368,0.93
1276.71641,0.93
1281.22914,0.93
1285.74187,0.89
1290.2546,0.89
1294.76733,0.89
1299.28006,0.89
1303.79279,0.86
1308.30552,0.86
1312.81825,0.86
1317.33098,0.86
1321.84371,0.86
1326.35644,0.83
1330.86917,0.83
1335.3819,0.83
1339.89463,0.83
1344.40736,0.83
1348.92009,0.83
1353.43282,0.83
1357.94555,0.83
1362.45828,0.8
1366.97101,0.8
1371.48374,0.8
1375.99647,0.8
1380.5092,0.8
1385.02193,0.8
1389.53466,0.8
1394.04739,0.8
1398.56012,0.8
1403.07285,0.8
1407.58558,0.8
1412.09831,0.8
1416.61104,0.8
1421.12377,0.8
1425.6365,0.8
1430.14923,0.8
1434.66196,0.83
1439.17469,0.83
1443.68742,0.83
1448.20015,0.83
1452.71288,0.83
1457.22561,0.86
1461.73834,0.86
1466.25107,0.89
1470.7638,0.93
1475.27653,0.85
1479.78926,0.6
1484.30199,0.55
1488.81472,0.55
1493.32745,0.33
1497.84018,0.49
1502.35291,0.56
1506.86564,0.61
1511.37837,0.64
1515.8911,0.64
1520.40383,0.67
1524.91656,0.67
1529.42929,0.67
1533.94202,0.7
1538.45475,0.7
1542.96748,0.7
1547.48021,0.7
1551.99294,0.7
1556.50567,0.7
1561.0184,0.7
1565.53113,0.71
1570.04386,0.73
1574.55659,0.73
1579.06932,0.73
1583.58205,0.73
1588.09478,0.73
1592.60751,0.73
1597.12024,0.73
1601.63297,0.73
1606.1457,0.73
1610.65843,0.73
1615.17116,0.73
1619.68389,0.73
1624.19662,0.73
1628.70935,0.73
1633.22208,0.73
1637.73481,0.73
1642.24754,0.73
2000,0.73
