WLnm,R
990.8675799,0.543513957
991.6793506,0.620689655
993.3028919,0.727422003
997.3617453,0.88998358
999.7970573,0.94909688
1001.420599,0.975369458
1006.291223,0.991789819
1012.785388,0.972085386
1019.279554,0.934318555
1030.644343,0.860426929
1040.385591,0.819376026
1046.879756,0.796387521
1053.373922,0.781609195
1058.244546,0.776683087
1062.303399,0.775041051
1068.797565,0.776683087
1076.103501,0.786535304
1086.65652,0.80952381
1096.397768,0.842364532
1103.703704,0.873563218
1114.256722,0.916256158
1123.997971,0.955665025
1132.927448,0.980295567
1140.233384,0.993431856
1147.53932,0.998357964
1154.033486,0.996715928
1159.71588,0.988505747
1166.210046,0.972085386
1173.515982,0.94909688
1183.25723,0.909688013
1194.622019,0.858784893
1203.551497,0.814449918
1212.480974,0.768472906
1224.657534,0.70771757
1236.834094,0.650246305
1245.763572,0.60591133
1259.563673,0.55500821
1272.552004,0.499178982
1283.916794,0.461412151
1309.081684,0.380952381
1327.75241,0.333333333
1342.364282,0.298850575
1363.47032,0.249589491
1382.141045,0.215106732
1399.188229,0.185550082
