wl,n,k
0.4,1.4149100,1.400000E-06
0.41,1.4140300,1.380000E-06
0.42,1.4130000,1.380000E-06
0.43,1.4117900,1.400000E-06
0.44,1.4111300,1.400000E-06
0.45,1.4103300,1.410000E-06
0.46,1.4094300,1.420000E-06
0.47,1.4086600,1.430000E-06
0.48,1.4080200,1.430000E-06
0.49,1.4073300,1.460000E-06
0.5,1.4067500,1.460000E-06
0.51,1.4061400,1.470000E-06
0.52,1.4055700,1.480000E-06
0.53,1.4051300,1.480000E-06
0.54,1.4043000,1.490000E-06
0.55,1.4042000,1.510000E-06
0.56,1.4037500,1.500000E-06
0.57,1.4033800,1.530000E-06
0.58,1.4029200,1.550000E-06
0.59,1.4025900,1.540000E-06
0.6,1.4020200,1.570000E-06
0.61,1.4015800,1.570000E-06
0.62,1.4013900,1.570000E-06
0.63,1.4012100,1.580000E-06
0.64,1.4005900,1.580000E-06
0.65,1.4004700,1.590000E-06
0.66,1.4002200,1.580000E-06
0.67,1.4000600,1.590000E-06
0.68,1.3998400,1.600000E-06
0.69,1.3995800,1.600000E-06
0.7,1.3990700,1.610000E-06
0.71,1.3990500,1.620000E-06
0.72,1.3987100,1.630000E-06
0.73,1.3981700,1.640000E-06
0.74,1.3981400,1.690000E-06
0.75,1.3976500,1.660000E-06
0.76,1.3975000,1.650000E-06
0.77,1.3972700,1.670000E-06
0.78,1.3966000,1.670000E-06
0.79,1.3964500,1.670000E-06
0.8,1.3960100,1.690000E-06
0.81,1.3961700,1.700000E-06
0.82,1.3968400,1.720000E-06
0.83,1.3970100,1.730000E-06
0.84,1.3962900,1.620000E-06
0.85,1.3968700,1.760000E-06
0.86,1.3967100,1.700000E-06
0.87,1.3965200,2.220000E-06
0.88,1.3962400,2.340000E-06
0.89,1.3962900,2.390000E-06
0.9,1.3961600,2.320000E-06
0.91,1.3961000,2.310000E-06
0.92,1.3958300,2.790000E-06
0.93,1.3958400,2.600000E-06
0.94,1.3955400,2.580000E-06
0.95,1.3954600,2.320000E-06
0.96,1.3955200,2.780000E-06
0.97,1.3953700,2.630000E-06
0.98,1.3951300,2.450000E-06
0.99,1.3950600,2.560000E-06
1,1.3952500,2.880000E-06
1.01,1.3952300,2.260000E-06
1.02,1.3954400,2.610000E-06
1.03,1.3912100,2.540000E-06
1.04,1.3912700,2.440000E-06
1.05,1.3918100,2.380000E-06
1.06,1.3910200,2.470000E-06
1.07,1.3919300,2.520000E-06
1.08,1.3921700,2.570000E-06
1.09,1.3922000,2.760000E-06
1.1,1.3914000,2.700000E-06
1.11,1.3920200,2.400000E-06
1.12,1.3916400,2.660000E-06
1.13,1.3908400,2.850000E-06
1.14,1.3910500,3.420000E-06
1.15,1.3908700,4.810000E-06
1.16,1.3913500,4.840000E-06
1.17,1.3913400,5.340000E-06
1.18,1.3919900,1.100000E-05
1.19,1.3914500,1.460000E-05
1.2,1.3910600,4.750000E-06
1.21,1.3894800,3.870000E-06
1.22,1.3905300,3.700000E-06
1.23,1.3898800,3.000000E-06
1.24,1.3892900,2.890000E-06
1.25,1.3897500,3.000000E-06
1.26,1.3899900,3.040000E-06
1.27,1.3904900,3.160000E-06
1.28,1.3900900,3.190000E-06
1.29,1.3891000,3.110000E-06
1.3,1.3887800,3.140000E-06
1.31,1.3885000,3.110000E-06
1.32,1.3884400,3.120000E-06
1.33,1.3889500,3.250000E-06
1.34,1.3887000,3.540000E-06
1.35,1.3889700,4.130000E-06
1.36,1.3891400,5.430000E-06
1.37,1.3900000,9.450000E-06
1.38,1.3897200,9.790000E-06
1.39,1.3892300,1.140000E-05
1.4,1.3893800,1.420000E-05
1.41,1.3883600,1.240000E-05
1.42,1.3893200,7.870000E-06
1.43,1.3893300,6.990000E-06
1.44,1.3892900,6.050000E-06
1.45,1.3884000,5.110000E-06
1.46,1.3884000,5.120000E-06
1.47,1.3889500,5.100000E-06
1.48,1.3896800,3.030000E-06
1.49,1.3891400,5.340000E-06
1.5,1.3888600,5.840000E-06
1.51,1.3884400,6.900000E-06
1.52,1.3885000,7.800000E-06
1.53,1.3880400,7.850000E-06
1.54,1.3886300,7.980000E-06
1.55,1.3892200,7.830000E-06
1.56,1.3884100,7.280000E-06
1.57,1.3881500,5.950000E-06
1.58,1.3878700,5.230000E-06
1.59,1.3875500,5.010000E-06
1.6,1.3874800,5.040000E-06
1.61,1.3873100,5.170000E-06
1.62,1.3881100,5.530000E-06
1.63,1.3872500,6.140000E-06
1.64,1.3860900,7.670000E-06
1.65,1.3875900,9.770000E-06
1.66,1.3875100,1.020000E-05
1.67,1.3879700,1.080000E-05
1.68,1.3877300,1.810000E-05
1.69,1.3871900,7.250000E-05
1.7,1.3869400,5.970000E-05
1.71,1.3875500,3.220000E-05
1.72,1.3868900,2.160000E-05
1.73,1.3875600,3.960000E-05
1.74,1.3873600,7.030000E-05
1.75,1.3873600,7.410000E-05
1.76,1.3861100,3.460000E-05
1.77,1.3870300,2.280000E-05
1.78,1.3865100,2.780000E-05
1.79,1.3864500,2.360000E-05
1.8,1.3864400,1.260000E-05
1.81,1.3868000,9.260000E-06
1.82,1.3870400,8.870000E-06
1.83,1.3863900,1.390000E-05
1.84,1.3873000,1.970000E-05
1.85,1.3871200,2.290000E-05
1.86,1.3863400,1.350000E-05
1.87,1.3857100,8.200000E-06
1.88,1.3865100,7.430000E-06
1.89,1.3863100,7.870000E-06
1.9,1.3860000,8.450000E-06
1.91,1.3861000,8.830000E-06
1.92,1.3858500,9.570000E-06
1.93,1.3862300,1.010000E-05
1.94,1.3862500,1.080000E-05
1.95,1.3857100,1.110000E-05
1.96,1.3854600,1.250000E-05
1.97,1.3862300,1.450000E-05
1.98,1.3858600,1.420000E-05
1.99,1.3865300,1.400000E-05
2,1.3864800,1.310000E-05
2.0097,1.3992400,1.200000E-05
2.019,1.3979300,1.230000E-05
2.0285,1.3971500,1.030000E-05
2.0381,1.3955100,1.010000E-05
2.0478,1.3948100,9.510000E-07
2.0575,1.3952900,8.810000E-06
2.0673,1.3956200,8.390000E-06
2.0773,1.3967700,8.300000E-06
2.0873,1.3970700,8.510000E-06
2.0975,1.3952300,8.990000E-06
2.1077,1.3949000,9.640000E-06
2.118,1.3947500,1.050000E-05
2.1285,1.3945300,1.200000E-05
2.139,1.3961400,1.420000E-05
2.1496,1.3979600,1.730000E-05
2.1568,1.3991500,1.960000E-05
2.1676,1.3992300,2.380000E-05
2.1785,1.3972100,2.980000E-05
2.1896,1.3967900,3.830000E-05
2.197,1.3981400,4.460000E-05
2.2082,1.4000600,5.460000E-05
2.2196,1.4009300,6.480000E-05
2.2272,1.4008300,7.020000E-05
2.2387,1.3991300,7.630000E-05
2.2465,1.3978300,8.030000E-05
2.2582,1.3975300,8.480000E-05
2.2661,1.3978200,8.590000E-05
2.2781,1.3988400,8.610000E-05
2.2861,1.3998300,8.630000E-05
2.2983,1.3992100,8.770000E-05
2.3065,1.3984000,8.900000E-05
2.3188,1.3981200,8.910000E-05
2.3272,1.3981700,8.670000E-05
2.3398,1.3983400,8.380000E-05
2.3482,1.3987300,8.490000E-05
2.3568,1.3987500,8.790000E-05
2.3697,1.3976900,9.290000E-05
2.3784,1.3971000,9.520000E-05
2.3872,1.3963800,9.550000E-05
2.396,1.3963800,9.510000E-05
2.4093,1.3973700,9.400000E-05
2.4183,1.3978800,9.050000E-05
2.4274,1.3984400,8.790000E-05
2.4365,1.3987000,9.000000E-05
2.4457,1.3987200,9.570000E-05
2.4596,1.3970800,9.980000E-05
2.469,1.3968000,9.930000E-05
2.4784,1.3969800,9.860000E-05
2.488,1.3970300,9.800000E-05
2.4975,1.3964600,9.740000E-05
2.5072,1.3960500,9.510000E-05
2.5169,1.3962500,9.130000E-05
2.5268,1.3963200,8.860000E-05
2.5366,1.3952800,8.740000E-05
2.5466,1.3944600,8.690000E-05
2.5567,1.3946800,8.800000E-05
2.5668,1.3954700,9.200000E-05
2.577,1.3958900,9.700000E-05
2.5873,1.3954800,1.000000E-04
2.5976,1.3948600,1.030000E-04
2.6081,1.3945800,1.060000E-04
2.6186,1.3940700,1.080000E-04
2.6293,1.3940100,1.080000E-04
2.64,1.3950100,1.080000E-04
2.6454,1.3953800,1.080000E-04
2.6562,1.3953400,1.090000E-04
2.6671,1.3950700,1.090000E-04
2.6782,1.3954200,1.080000E-04
2.6893,1.3951800,1.090000E-04
2.6949,1.3949200,1.100000E-04
2.7061,1.3951400,1.110000E-04
2.7175,1.3953900,1.120000E-04
2.7289,1.3950900,1.140000E-04
2.7347,1.3950800,1.140000E-04
2.7462,1.3953500,1.140000E-04
2.7579,1.3954300,1.130000E-04
2.7697,1.3959600,1.150000E-04
2.7756,1.3963200,1.160000E-04
2.7876,1.3961800,1.160000E-04
2.7996,1.3953300,1.170000E-04
2.8057,1.3952000,1.180000E-04
2.8179,1.3957000,1.190000E-04
2.824,1.3960400,1.190000E-04
2.8364,1.3963300,1.200000E-04
2.8489,1.3957500,1.210000E-04
2.8551,1.3949400,1.210000E-04
2.8678,1.3931900,1.220000E-04
2.8741,1.3931300,1.210000E-04
2.8869,1.3945800,1.210000E-04
2.8998,1.3951300,1.210000E-04
2.9063,1.3947800,1.210000E-04
2.9194,1.3949700,1.220000E-04
2.926,1.3948400,1.220000E-04
2.9393,1.3940300,1.220000E-04
2.946,1.3936300,1.220000E-04
2.9594,1.3938000,1.240000E-04
2.9662,1.3937700,1.240000E-04
2.9798,1.3937900,1.230000E-04
2.9867,1.3936600,1.240000E-04
2.9936,1.3934200,1.260000E-04
3.0075,1.3939000,1.260000E-04
3.0145,1.3943100,1.250000E-04
3.0286,1.3943100,1.250000E-04
3.0357,1.3942700,1.270000E-04
3.0499,1.3937100,1.300000E-04
3.0571,1.3928800,1.310000E-04
3.0644,1.3920400,1.320000E-04
3.0789,1.3911400,1.330000E-04
3.0863,1.3911900,1.330000E-04
3.0936,1.3914400,1.330000E-04
3.1085,1.3922500,1.350000E-04
3.1159,1.3921000,1.370000E-04
3.1234,1.3916800,1.390000E-04
3.1386,1.3911400,1.400000E-04
3.1462,1.3911200,1.400000E-04
3.1538,1.3908800,1.400000E-04
3.1693,1.3912900,1.390000E-04
3.177,1.3916900,1.370000E-04
3.1848,1.3917300,1.370000E-04
3.1927,1.3912400,1.380000E-04
3.2085,1.3903600,1.420000E-04
3.2164,1.3899300,1.450000E-04
3.2244,1.3892100,1.460000E-04
3.2325,1.3887600,1.450000E-04
3.2487,1.3881700,1.460000E-04
3.2569,1.3873700,1.470000E-04
3.2651,1.3865000,1.490000E-04
3.2733,1.3862700,1.510000E-04
3.2899,1.3865800,1.510000E-04
3.2983,1.3859100,1.480000E-04
3.3067,1.3844800,1.470000E-04
3.3152,1.3827200,1.480000E-04
3.3237,1.3810000,1.500000E-04
3.3322,1.3786300,1.000000E-03
3.3494,1.3709700,8.070000E-03
3.3581,1.3696700,1.860000E-02
3.3668,1.3768700,3.190000E-02
3.3756,1.3931600,3.830000E-02
3.3844,1.4086600,3.130000E-02
3.3933,1.4142700,1.830000E-02
3.4022,1.4118400,8.360000E-03
3.4111,1.4069900,3.550000E-03
3.4292,1.4007900,3.330000E-03
3.4383,1.4006800,4.630000E-03
3.4474,1.4012900,4.560000E-03
3.4566,1.4015500,3.000000E-03
3.4658,1.4012600,1.450000E-03
3.4751,1.4005400,1.050000E-03
3.4845,1.3994900,1.630000E-04
3.4939,1.3985700,1.630000E-04
3.5033,1.3980400,1.640000E-04
3.5128,1.3975100,1.650000E-04
3.5224,1.3970800,1.670000E-04
3.532,1.3970600,1.660000E-04
3.5416,1.3967700,1.650000E-04
3.5513,1.3963900,1.670000E-04
3.5611,1.3964400,1.700000E-04
3.5709,1.3964500,1.690000E-04
3.5807,1.3961300,1.700000E-04
3.5907,1.3957300,1.710000E-04
3.6006,1.3952600,1.700000E-04
3.6107,1.3948800,1.690000E-04
3.6207,1.3942500,1.700000E-04
3.6309,1.3938700,1.710000E-04
3.6411,1.3937100,1.730000E-04
3.6513,1.3933600,1.760000E-04
3.6617,1.3929900,1.750000E-04
3.672,1.3927500,1.740000E-04
3.6825,1.3927900,1.750000E-04
3.693,1.3928500,1.780000E-04
3.7035,1.3929200,1.800000E-04
3.7141,1.3933800,1.810000E-04
3.7248,1.3935300,1.820000E-04
3.7355,1.3928400,1.810000E-04
3.7463,1.3922100,1.780000E-04
3.7572,1.3920400,1.790000E-04
3.7681,1.3917800,1.820000E-04
3.7791,1.3913700,1.700000E-04
3.7901,1.3911700,1.430000E-04
3.8013,1.3909600,1.190000E-04
3.8124,1.3905200,1.020000E-04
3.8237,1.3901200,8.860000E-05
3.835,1.3901500,7.940000E-05
3.8464,1.3904600,7.280000E-05
