measWL,meas202210_Ravg,+,-,meas202210_Tavg,+,-,meas202210_Aavg,+,-
1000,0.586301889,0.018656872,-0.018954875,0.364310157,0.012610334,-0.012703144,0.049387954,0.031658019,-0.031267207
1001,0.585258125,0.018614006,-0.018800163,0.364290827,0.012620704,-0.012704732,0.050451048,0.031504895,-0.03123471
1002,0.585171512,0.018730502,-0.018928209,0.364775815,0.012654252,-0.012837517,0.050052673,0.031765726,-0.031384754
1003,0.586533786,0.018926924,-0.019005854,0.365295159,0.012642211,-0.012852196,0.048171055,0.03185805,-0.031569135
1004,0.587779451,0.018945424,-0.019238243,0.365797527,0.012723639,-0.012604148,0.046423021,0.031842391,-0.031669064
1005,0.587104622,0.018818166,-0.019379696,0.365907545,0.012621661,-0.012553769,0.046987833,0.031933466,-0.031439827
1006,0.586087773,0.018661277,-0.019285904,0.366503934,0.012538452,-0.01254974,0.047408292,0.031835643,-0.031199729
1007,0.586181555,0.018548635,-0.019280719,0.366903507,0.012672816,-0.012771616,0.046914938,0.032052335,-0.03122145
1008,0.586896927,0.018759165,-0.019025661,0.367541057,0.012634245,-0.012830266,0.045562016,0.031855927,-0.03139341
1009,0.587889839,0.018607665,-0.019058728,0.367886009,0.012645334,-0.012661779,0.044224152,0.031720508,-0.031252998
1010,0.587177633,0.018512781,-0.019008145,0.368190658,0.012599122,-0.012641564,0.044631709,0.031649709,-0.031111902
1011,0.58582266,0.019000508,-0.019326531,0.368328156,0.012649108,-0.012669304,0.045849184,0.031995835,-0.030658172
1012,0.585294426,0.01834962,-0.018885745,0.36883165,0.012844646,-0.012722211,0.045873924,0.031607955,-0.031194266
1013,0.585902951,0.018775432,-0.01924966,0.36955031,0.012745423,-0.012675113,0.044546739,0.031924773,-0.031520855
1014,0.585913863,0.018391389,-0.018799514,0.369916298,0.012589804,-0.012811008,0.044169839,0.031610522,-0.030981193
1015,0.585224274,0.018354284,-0.018886899,0.370241483,0.012550235,-0.012741986,0.044534243,0.031628885,-0.030721857
1016,0.583400646,0.018498951,-0.018822086,0.370304256,0.012476203,-0.012750707,0.046295098,0.031572793,-0.030383011
1017,0.582928491,0.018309075,-0.018684417,0.370933914,0.012459634,-0.012889608,0.046137595,0.031574025,-0.030396845
1018,0.583543954,0.018264735,-0.01882175,0.371592316,0.01243818,-0.012787876,0.044863731,0.031609626,-0.030702916
1019,0.583535143,0.018422929,-0.01871961,0.372102528,0.012698283,-0.012816721,0.044362329,0.031536331,-0.031121212
1020,0.582440306,0.018096774,-0.018420454,0.372466163,0.012482713,-0.012731423,0.045093531,0.031151878,-0.030338195
1021,0.580925799,0.018447755,-0.018648731,0.372740721,0.012508948,-0.012793705,0.04633348,0.031442436,-0.030956703
1022,0.580913815,0.018477244,-0.018839034,0.373343868,0.012679158,-0.012927709,0.045742317,0.031766743,-0.031156402
1023,0.581389811,0.018796023,-0.018741653,0.373869893,0.012624663,-0.012807203,0.044740296,0.031548856,-0.031420685
1024,0.58244229,0.018891501,-0.019203342,0.374360968,0.012720517,-0.013005181,0.043196741,0.032208523,-0.031612018
1025,0.581288579,0.018789319,-0.018845865,0.375395931,0.012910681,-0.012874607,0.043315489,0.031720472,-0.0317
1026,0.580881011,0.018509216,-0.018537495,0.375590663,0.012945584,-0.013056092,0.043528326,0.031593587,-0.0314548
1027,0.580509134,0.01841111,-0.018535393,0.37653756,0.012884129,-0.013118226,0.042953306,0.03165362,-0.031295239
1028,0.581237965,0.018922577,-0.018974108,0.376983226,0.012637354,-0.012853252,0.041778809,0.03182736,-0.031559931
1029,0.581768335,0.018830516,-0.0185973,0.377612918,0.012871674,-0.013092628,0.040618747,0.031689928,-0.03170219
1030,0.582044283,0.018788027,-0.018365813,0.378554316,0.013216269,-0.013124063,0.039401401,0.031489876,-0.032004296
1031,0.580949408,0.018587137,-0.018252028,0.378796556,0.013402104,-0.013213743,0.040254036,0.031465772,-0.031989241
1032,0.579985683,0.018472633,-0.018236595,0.379427235,0.013448827,-0.013278551,0.040587082,0.031515146,-0.03192146
1033,0.580357019,0.018803048,-0.0188456,0.380135257,0.013148728,-0.013189702,0.039507724,0.032035302,-0.031951775
1034,0.580735866,0.018647824,-0.018936081,0.380396439,0.013358173,-0.013184326,0.038867695,0.032120406,-0.032005997
1035,0.580548419,0.018769058,-0.018680678,0.381141268,0.013172854,-0.013276054,0.038310313,0.031956732,-0.031941911
1036,0.580027779,0.018666914,-0.018541005,0.381551605,0.013304213,-0.013279541,0.038420617,0.031820546,-0.031971128
1037,0.579071494,0.018134477,-0.018256563,0.382336126,0.012933542,-0.013381525,0.03859238,0.031638088,-0.031068019
1038,0.579398549,0.018582416,-0.018720788,0.38318884,0.012719795,-0.012999553,0.037412611,0.031720341,-0.031302212
1039,0.579545563,0.018543002,-0.018628744,0.383704187,0.012839858,-0.013088278,0.036750249,0.031717022,-0.031382861
1040,0.579802537,0.018284481,-0.018503633,0.384000526,0.012618157,-0.013100997,0.036196937,0.031604629,-0.030902638
1041,0.579974945,0.018319833,-0.018506285,0.384557565,0.012633883,-0.012793362,0.03546749,0.031299646,-0.030953716
1042,0.581846126,0.018569182,-0.018169792,0.38573784,0.012576846,-0.012763086,0.032416034,0.030932877,-0.031146028
1043,0.58157247,0.018900826,-0.018526451,0.386371581,0.012850395,-0.01280323,0.032055949,0.031329681,-0.031751221
1044,0.580876626,0.01855854,-0.018437992,0.386582353,0.012748032,-0.012884612,0.03254102,0.031322604,-0.031306571
1045,0.580253471,0.018448719,-0.018482875,0.386800778,0.012916107,-0.013101228,0.032945752,0.031584103,-0.031364826
1046,0.579667436,0.018000855,-0.018457856,0.387258896,0.012686412,-0.0132042,0.033073668,0.031662057,-0.030599488
1047,0.575698247,0.022297874,-0.0199614,0.383768874,0.015293383,-0.013861582,0.040532879,0.033176174,-0.037591258
1048,0.579916667,0.02029621,-0.019661054,0.386547066,0.013845693,-0.01305468,0.033536267,0.031917453,-0.034141903
