simWLnm, simR, simA, simT
1.000000e+03, 7.902848e-01, 1.966173e-04, 2.095186e-01
1.000069e+03, 7.902913e-01, 1.963489e-04, 2.095123e-01
1.000137e+03, 7.902978e-01, 1.960806e-04, 2.095061e-01
1.000206e+03, 7.903043e-01, 1.958122e-04, 2.094999e-01
1.000275e+03, 7.903108e-01, 1.955439e-04, 2.094937e-01
1.000344e+03, 7.903172e-01, 1.952756e-04, 2.094875e-01
1.000412e+03, 7.903237e-01, 1.950074e-04, 2.094813e-01
1.000481e+03, 7.903301e-01, 1.947392e-04, 2.094751e-01
1.000550e+03, 7.903366e-01, 1.944710e-04, 2.094689e-01
1.000618e+03, 7.903430e-01, 1.942028e-04, 2.094628e-01
1.000687e+03, 7.903494e-01, 1.939347e-04, 2.094566e-01
1.000756e+03, 7.903559e-01, 1.936666e-04, 2.094505e-01
1.000824e+03, 7.903623e-01, 1.933986e-04, 2.094443e-01
1.000893e+03, 7.903686e-01, 1.931305e-04, 2.094382e-01
1.000962e+03, 7.903750e-01, 1.928625e-04, 2.094321e-01
1.001031e+03, 7.903814e-01, 1.925945e-04, 2.094260e-01
1.001099e+03, 7.903878e-01, 1.923266e-04, 2.094199e-01
1.001168e+03, 7.903941e-01, 1.920587e-04, 2.094138e-01
1.001237e+03, 7.904005e-01, 1.917908e-04, 2.094077e-01
1.001305e+03, 7.904068e-01, 1.915229e-04, 2.094017e-01
1.001374e+03, 7.904131e-01, 1.912551e-04, 2.093956e-01
1.001443e+03, 7.904194e-01, 1.909873e-04, 2.093896e-01
1.001512e+03, 7.904258e-01, 1.907195e-04, 2.093835e-01
1.001580e+03, 7.904321e-01, 1.904518e-04, 2.093775e-01
1.001649e+03, 7.904383e-01, 1.901841e-04, 2.093715e-01
1.001718e+03, 7.904446e-01, 1.899164e-04, 2.093655e-01
1.001786e+03, 7.904509e-01, 1.896488e-04, 2.093595e-01
1.001855e+03, 7.904572e-01, 1.893812e-04, 2.093535e-01
1.001924e+03, 7.904634e-01, 1.891136e-04, 2.093475e-01
1.001992e+03, 7.904696e-01, 1.888460e-04, 2.093415e-01
1.002061e+03, 7.904759e-01, 1.885785e-04, 2.093355e-01
1.002130e+03, 7.904821e-01, 1.883110e-04, 2.093296e-01
1.002199e+03, 7.904883e-01, 1.880435e-04, 2.093236e-01
1.002267e+03, 7.904945e-01, 1.877761e-04, 2.093177e-01
1.002336e+03, 7.905007e-01, 1.875086e-04, 2.093118e-01
1.002405e+03, 7.905069e-01, 1.872413e-04, 2.093059e-01
1.002473e+03, 7.905131e-01, 1.869739e-04, 2.092999e-01
1.002542e+03, 7.905193e-01, 1.867179e-04, 2.092940e-01
1.002611e+03, 7.905255e-01, 1.864691e-04, 2.092881e-01
1.002680e+03, 7.905316e-01, 1.862202e-04, 2.092821e-01
1.002748e+03, 7.905378e-01, 1.859715e-04, 2.092762e-01
1.002817e+03, 7.905440e-01, 1.857227e-04, 2.092703e-01
1.002886e+03, 7.905501e-01, 1.854740e-04, 2.092644e-01
1.002954e+03, 7.905563e-01, 1.852253e-04, 2.092585e-01
1.003023e+03, 7.905624e-01, 1.849766e-04, 2.092526e-01
1.003092e+03, 7.905685e-01, 1.847279e-04, 2.092468e-01
1.003161e+03, 7.905746e-01, 1.844793e-04, 2.092409e-01
1.003229e+03, 7.905807e-01, 1.842307e-04, 2.092350e-01
1.003298e+03, 7.905868e-01, 1.839822e-04, 2.092292e-01
1.003367e+03, 7.905929e-01, 1.837336e-04, 2.092233e-01
1.003435e+03, 7.905990e-01, 1.834851e-04, 2.092175e-01
1.003504e+03, 7.906051e-01, 1.832366e-04, 2.092117e-01
1.003573e+03, 7.906111e-01, 1.829881e-04, 2.092059e-01
1.003641e+03, 7.906172e-01, 1.827397e-04, 2.092001e-01
1.003710e+03, 7.906232e-01, 1.824913e-04, 2.091943e-01
1.003779e+03, 7.906292e-01, 1.822429e-04, 2.091885e-01
1.003848e+03, 7.906353e-01, 1.819946e-04, 2.091827e-01
1.003916e+03, 7.906413e-01, 1.817463e-04, 2.091770e-01
1.003985e+03, 7.906473e-01, 1.814980e-04, 2.091712e-01
1.004054e+03, 7.906533e-01, 1.812497e-04, 2.091655e-01
1.004122e+03, 7.906593e-01, 1.810014e-04, 2.091597e-01
1.004191e+03, 7.906652e-01, 1.807532e-04, 2.091540e-01
1.004260e+03, 7.906712e-01, 1.805050e-04, 2.091483e-01
1.004329e+03, 7.906772e-01, 1.802569e-04, 2.091426e-01
1.004397e+03, 7.906831e-01, 1.800087e-04, 2.091369e-01
